Post Code,Post Office Name,Post Office Level,Phone,Province,District,Commune,Address,Status,Branch,Pickup Branch,Commune EN,Commune Khmer,Phone Number,Main Branch Phone,Branch Code,Branch EN,Branch Khmer,Category,Post office level,Type,Latitude,Longitude,Search Text
BANA001,Chamnaom,AGENT,0716111197,Banteay Meanchey,Mongkol Borei,Chamnaom,"Chamnaom, Mongkol Borei, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANA001,Chamnaom,Chamnaom,0716111197,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,AGENT,AGENT,AGENT,13.437565,102.934632,BANA001 | Chamnaom | 0716111197 | BAN | Banteay Meanchey | Mongkol Borei | AGENT
BANS002,Paoy Paet,POST,0976868001,Banteay Meanchey,Paoy Paet,Paoy Paet,"Paoy Paet, Paoy Paet, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANS002,Paoy Paet,Paoy Paet,0976868001,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,POST,POST,POST,13.65887,102.554344,BANS002 | Paoy Paet | 0976868001 | BAN | Banteay Meanchey | Paoy Paet | POST
BANS003,Thma Puok,POST,0976868003,Banteay Meanchey,Thma Puok,Thma Puok,"Thma Puok, Thma Puok, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANS003,Thma Puok,Thma Puok,0976868003,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,POST,POST,POST,13.9413014,103.049302,BANS003 | Thma Puok | 0976868003 | BAN | Banteay Meanchey | Thma Puok | POST
BANS004,Srah Chik,POST,0976868004,Banteay Meanchey,Phnum Srok,Srah Chik,"Srah Chik, Phnum Srok, Banteay Meanchey, Cambodia",ACTIVE,BAN,BANS004,Srah Chik,Srah Chik,0976868004,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,POST,POST,POST,13.74387,103.33588,BANS004 | Srah Chik | 0976868004 | BAN | Banteay Meanchey | Phnum Srok | POST
BCTEST6,BCTEST6,POST,0316000285,Banteay Meanchey,Serei Saophoan,BCTEST6,"BCTEST6, Serei Saophoan, Banteay Meanchey, Cambodia",INACTIVE,BAN,BCTEST6,BCTEST6,BCTEST6,0316000285,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,POST,POST,POST,,,BCTEST6 | BCTEST6 | 0316000285 | BAN | Banteay Meanchey | Serei Saophoan | POST
HZ4P01,Head Office Z4,DEPARTMENT,0316000285,Banteay Meanchey,Serei Saophoan,Head Office Z4,"Head Office Z4, Serei Saophoan, Banteay Meanchey, Cambodia",ACTIVE,BAN,HZ4P01,Head Office Z4,Head Office Z4,0316000285,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,DEPARTMENT,DEPARTMENT,DEPARTMENT,,,HZ4P01 | Head Office Z4 | 0316000285 | BAN | Banteay Meanchey | Serei Saophoan | DEPARTMENT
BATA001,Chomkar Somraong,AGENT,092281838,Battambang,Battambang,Chomkar Somraong,"Chomkar Somraong, Battambang, Battambang, Cambodia",ACTIVE,BAT,BATA001,Chomkar Somraong,Chomkar Somraong,092281838,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.129832,103.198146,BATA001 | Chomkar Somraong | 092281838 | BAT | Battambang | Battambang | AGENT
BATA002,Kampong Prieng,AGENT,0313804400,Battambang,Sangkae,Kampong Prieng,"Kampong Prieng, Sangkae, Battambang, Cambodia",ACTIVE,BAT,BATA002,Kampong Prieng,Kampong Prieng,0313804400,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.9489,103.3383,BATA002 | Kampong Prieng | 0313804400 | BAT | Battambang | Sangkae | AGENT
BATA003,Phnum Sampov,AGENT,0975055550,Battambang,Banan,Phnum Sampov,"Phnum Sampov, Banan, Battambang, Cambodia",ACTIVE,BAT,BATA003,Phnum Sampov,Phnum Sampov,0975055550,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.0296,103.1009,BATA003 | Phnum Sampov | 0975055550 | BAT | Battambang | Banan | AGENT
BATA004,Vaot Ta Muem 01,AGENT,0889678999,Battambang,Sangkae,Vaot Ta Muem 01,"Vaot Ta Muem 01, Sangkae, Battambang, Cambodia",ACTIVE,BAT,BATA004,Vaot Ta Muem 01,Vaot Ta Muem 01,0889678999,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.0627,103.2032,BATA004 | Vaot Ta Muem 01 | 0889678999 | BAT | Battambang | Sangkae | AGENT
BATA005,Tuol Ta Ek,AGENT,0977705535,Battambang,Battambang,Tuol Ta Ek,"Tuol Ta Ek, Battambang, Battambang, Cambodia",ACTIVE,BAT,BATA005,Tuol Ta Ek,Tuol Ta Ek,0977705535,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.09573,103.190527,BATA005 | Tuol Ta Ek | 0977705535 | BAT | Battambang | Battambang | AGENT
BATA006,Moung,AGENT,0976083766,Battambang,Moung Ruessei,Moung,"Moung, Moung Ruessei, Battambang, Cambodia",ACTIVE,BAT,BATA006,Moung,Moung,0976083766,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.775837,103.448387,BATA006 | Moung | 0976083766 | BAT | Battambang | Moung Ruessei | AGENT
BATA007,Snoeng,AGENT,0888876795,Battambang,Banan,Snoeng,"Snoeng, Banan, Battambang, Cambodia",ACTIVE,BAT,BATA007,Snoeng,Snoeng,0888876795,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.9784,103.0544,BATA007 | Snoeng | 0888876795 | BAT | Battambang | Banan | AGENT
BATA008,Vaot Ta Muem 02,AGENT,0712700200,Battambang,Sangkae,Vaot Ta Muem 02,"Vaot Ta Muem 02, Sangkae, Battambang, Cambodia",ACTIVE,BAT,BATA008,Vaot Ta Muem 02,Vaot Ta Muem 02,0712700200,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.03679,103.20173,BATA008 | Vaot Ta Muem 02 | 0712700200 | BAT | Battambang | Sangkae | AGENT
BATA009,REM SOCHEA,AGENT,0889977774,Battambang,Battambang,REM SOCHEA,"REM SOCHEA, Battambang, Battambang, Cambodia",ACTIVE,BAT,BATA009,REM SOCHEA,REM SOCHEA,0889977774,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.265685,102.945134,BATA009 | REM SOCHEA | 0889977774 | BAT | Battambang | Battambang | AGENT
BATA010,Santepheap,AGENT,0719596977,Battambang,Sampov Lun,Santepheap,"Santepheap, Sampov Lun, Battambang, Cambodia",ACTIVE,BAT,BATA010,Santepheap,Santepheap,0719596977,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.432283,102.366176,BATA010 | Santepheap | 0719596977 | BAT | Battambang | Sampov Lun | AGENT
BATA011,Boeng Reang,AGENT,067843333,Battambang,Kamrieng,Boeng Reang,"Boeng Reang, Kamrieng, Battambang, Cambodia",ACTIVE,BAT,BATA011,Boeng Reang,Boeng Reang,067843333,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.087139,102.446107,BATA011 | Boeng Reang | 067843333 | BAT | Battambang | Kamrieng | AGENT
BATA012,Bour,AGENT,0884477766,Battambang,Phnum Proek,Bour,"Bour, Phnum Proek, Battambang, Cambodia",ACTIVE,BAT,BATA012,Bour,Bour,0884477766,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.283736,102.615651,BATA012 | Bour | 0884477766 | BAT | Battambang | Phnum Proek | AGENT
BATA013,Pech Chenda 01,AGENT,0977878161,Battambang,Phnum Proek,Pech Chenda 01,"Pech Chenda 01, Phnum Proek, Battambang, Cambodia",ACTIVE,BAT,BATA013,Pech Chenda 01,Pech Chenda 01,0977878161,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.222725,102.391644,BATA013 | Pech Chenda 01 | 0977878161 | BAT | Battambang | Phnum Proek | AGENT
BATA014,Pech Chenda 02,AGENT,0977777893,Battambang,Phnum Proek,Pech Chenda 02,"Pech Chenda 02, Phnum Proek, Battambang, Cambodia",ACTIVE,BAT,BATA014,Pech Chenda 02,Pech Chenda 02,0977777893,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.2117,102.532803,BATA014 | Pech Chenda 02 | 0977777893 | BAT | Battambang | Phnum Proek | AGENT
BATA015,Sdok Pravoek,AGENT,0716709006,Battambang,Rukh Kiri,Sdok Pravoek,"Sdok Pravoek, Rukh Kiri, Battambang, Cambodia",ACTIVE,BAT,BATA015,Sdok Pravoek,Sdok Pravoek,0716709006,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.603483,103.490935,BATA015 | Sdok Pravoek | 0716709006 | BAT | Battambang | Rukh Kiri | AGENT
BATA016,Ta Kream,AGENT,0717111122,Battambang,Banan,Ta Kream,"Ta Kream, Banan, Battambang, Cambodia",ACTIVE,BAT,BATA016,Ta Kream,Ta Kream,0717111122,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.090324,103.023334,BATA016 | Ta Kream | 0717111122 | BAT | Battambang | Banan | AGENT
BATA017,Ta Sanh,AGENT,0714776666,Battambang,Samlout,Ta Sanh,"Ta Sanh, Samlout, Battambang, Cambodia",ACTIVE,BAT,BATA017,Ta Sanh,Ta Sanh,0714776666,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.616636,102.858967,BATA017 | Ta Sanh | 0714776666 | BAT | Battambang | Samlout | AGENT
BATA018,Kampong Lpov,AGENT,066811551,Battambang,Samlout,Kampong Lpov,"Kampong Lpov, Samlout, Battambang, Cambodia",ACTIVE,BAT,BATA018,Kampong Lpov,Kampong Lpov,066811551,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.543875,102.865274,BATA018 | Kampong Lpov | 066811551 | BAT | Battambang | Samlout | AGENT
BATA019,Traeng,AGENT,0714263333,Battambang,Thma Koul,Traeng,"Traeng, Thma Koul, Battambang, Cambodia",ACTIVE,BAT,BATA019,Traeng,Traeng,0714263333,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.832975,102.894727,BATA019 | Traeng | 0714263333 | BAT | Battambang | Thma Koul | AGENT
BATA021,Preaek Chik,AGENT,0719462246,Battambang,Rukh Kiri,Preaek Chik,"Preaek Chik, Rukh Kiri, Battambang, Cambodia",ACTIVE,BAT,BATA021,Preaek Chik,Preaek Chik,0719462246,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.651708,103.396619,BATA021 | Preaek Chik | 0719462246 | BAT | Battambang | Rukh Kiri | AGENT
BATA022,Bavel,AGENT,060244232,Battambang,Bavel,Bavel,"Bavel, Bavel, Battambang, Cambodia",ACTIVE,BAT,BATA022,Bavel,Bavel,060244232,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.256093,102.875914,BATA022 | Bavel | 060244232 | BAT | Battambang | Bavel | AGENT
BATA023,Chrey,AGENT,068444789,Battambang,Thma Koul,Chrey,"Chrey, Thma Koul, Battambang, Cambodia",ACTIVE,BAT,BATA023,Chrey,Chrey,068444789,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.112873,103.136953,BATA023 | Chrey | 068444789 | BAT | Battambang | Thma Koul | AGENT
BATA024,Boeng Pring,AGENT,0719066617,Battambang,Thma Koul,Boeng Pring,"Boeng Pring, Thma Koul, Battambang, Cambodia",ACTIVE,BAT,BATA024,Boeng Pring,Boeng Pring,0719066617,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.366959,103.034112,BATA024 | Boeng Pring | 0719066617 | BAT | Battambang | Thma Koul | AGENT
BATA025,Ta Pung,AGENT,066864422,Battambang,Thma Koul,Ta Pung,"Ta Pung, Thma Koul, Battambang, Cambodia",ACTIVE,BAT,BATA025,Ta Pung,Ta Pung,066864422,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.264179,103.089398,BATA025 | Ta Pung | 066864422 | BAT | Battambang | Thma Koul | AGENT
BATA026,Svay Por,AGENT,0886888897,Battambang,Battambang,Svay Por,"Svay Por, Battambang, Battambang, Cambodia",ACTIVE,BAT,BATA026,Svay Por,Svay Por,0886888897,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.0859,103.1988,BATA026 | Svay Por | 0886888897 | BAT | Battambang | Battambang | AGENT
BATA027,Ou Ta Ki,AGENT,0318424242,Battambang,Thma Koul,Ou Ta Ki,"Ou Ta Ki, Thma Koul, Battambang, Cambodia",ACTIVE,BAT,BATA027,Ou Ta Ki,Ou Ta Ki,0318424242,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.167237,103.112915,BATA027 | Ou Ta Ki | 0318424242 | BAT | Battambang | Thma Koul | AGENT
BATA028,Ta Sda,AGENT,0314157888,Battambang,Sampov Lun,Ta Sda,"Ta Sda, Sampov Lun, Battambang, Cambodia",ACTIVE,BAT,BATA028,Ta Sda,Ta Sda,0314157888,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.404488,102.455575,BATA028 | Ta Sda | 0314157888 | BAT | Battambang | Sampov Lun | AGENT
BATA029,Thipakdei,AGENT,0979928802,Battambang,Koas Krala,Thipakdei,"Thipakdei, Koas Krala, Battambang, Cambodia",ACTIVE,BAT,BATA029,Thipakdei,Thipakdei,0979928802,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.856523,103.26872,BATA029 | Thipakdei | 0979928802 | BAT | Battambang | Koas Krala | AGENT
BATA030,Prey Svay,AGENT,0319992324,Battambang,Moung Ruessei,Prey Svay,"Prey Svay, Moung Ruessei, Battambang, Cambodia",ACTIVE,BAT,BATA030,Prey Svay,Prey Svay,0319992324,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.713477,103.544657,BATA030 | Prey Svay | 0319992324 | BAT | Battambang | Moung Ruessei | AGENT
BATA032,Sdau,AGENT,0886384445,Battambang,Thma Koul,Sdau,"Sdau, Thma Koul, Battambang, Cambodia",ACTIVE,BAT,BATA032,Sdau,Sdau,0886384445,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.891503,102.973863,BATA032 | Sdau | 0886384445 | BAT | Battambang | Thma Koul | AGENT
BATA033,Ampil Pram Daeum,AGENT,0886666033,Battambang,Bavel,Ampil Pram Daeum,"Ampil Pram Daeum, Bavel, Battambang, Cambodia",ACTIVE,BAT,BATA033,Ampil Pram Daeum,Ampil Pram Daeum,0886666033,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.260059,102.767866,BATA033 | Ampil Pram Daeum | 0886666033 | BAT | Battambang | Bavel | AGENT
BATA034,Ou Char,AGENT,090471804,Battambang,Battambang,Ou Char,"Ou Char, Battambang, Battambang, Cambodia",ACTIVE,BAT,BATA034,Ou Char,Ou Char,090471804,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.1076,103.1755,BATA034 | Ou Char | 090471804 | BAT | Battambang | Battambang | AGENT
BATA035,Anlung Vil,AGENT,0718525353,Battambang,Battambang,Anlung Vil,"Anlung Vil, Battambang, Battambang, Cambodia",ACTIVE,BAT,BATA035,Anlung Vil,Anlung Vil,0718525353,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.0624,103.2563,BATA035 | Anlung Vil | 0718525353 | BAT | Battambang | Battambang | AGENT
BATA036,Vaot Ta Muem,AGENT,0889595557,Battambang,Sangkae,Vaot Ta Muem,"Vaot Ta Muem, Sangkae, Battambang, Cambodia",ACTIVE,BAT,BATA036,Vaot Ta Muem,Vaot Ta Muem,0889595557,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.01234,103.187065,BATA036 | Vaot Ta Muem | 0889595557 | BAT | Battambang | Sangkae | AGENT
BATA037,Peam Aek,AGENT,0973366686,Battambang,Aek Phnum,Peam Aek,"Peam Aek, Aek Phnum, Battambang, Cambodia",ACTIVE,BAT,BATA037,Peam Aek,Peam Aek,0973366686,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.161,103.2086,BATA037 | Peam Aek | 0973366686 | BAT | Battambang | Aek Phnum | AGENT
BATA038,Prey Khpos,AGENT,0979676228,Battambang,Bavel,Prey Khpos,"Prey Khpos, Bavel, Battambang, Cambodia",ACTIVE,BAT,BATA038,Prey Khpos,Prey Khpos,0979676228,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.347834,102.905611,BATA038 | Prey Khpos | 0979676228 | BAT | Battambang | Bavel | AGENT
BATA039,Mukh Rea,AGENT,0979655007,Battambang,Rukh Kiri,Mukh Rea,"Mukh Rea, Rukh Kiri, Battambang, Cambodia",ACTIVE,BAT,BATA039,Mukh Rea,Mukh Rea,0979655007,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,12.77559,103.448243,BATA039 | Mukh Rea | 0979655007 | BAT | Battambang | Rukh Kiri | AGENT
BATA040,Prek Preah Sdach,AGENT,0718378888,Battambang,Battambang,Prek Preah Sdach,"Prek Preah Sdach, Battambang, Battambang, Cambodia",ACTIVE,BAT,BATA040,Prek Preah Sdach,Prek Preah Sdach,0718378888,0972277127,BAT,Battambang,Battambang,AGENT,AGENT,AGENT,13.0887,103.2127,BATA040 | Prek Preah Sdach | 0718378888 | BAT | Battambang | Battambang | AGENT
